idx,source_prompt,target_prompt,target_index,target_index_checked,real_image
242679-input,a seat,a cat sitting on a seat,"[1, 2, 3, 4]",,1
368667-input,field,a stream runs through a field,"[1, 2, 3, 4, 5]",,1
368667-output1,field,a giraffe in the field,"[1, 2, 3, 4]",,0
368667-output2,sky,supernova in the sky,"[1, 2, 3]",,0
385042-input,black and white hydrant,white hydrant,,,1
385042-output2,a hydrant,a dog leashed to a hydrant,"[1, 2, 3, 4]",,0
483348-input,toilet,toilet with seat down,"[2, 3, 4]",,1
483348-output1,toilet,a frog in a toilet,"[1, 2, 3, 4]",,0
483348-output2,bathroom,bathroom with wooden floor,"[2, 3, 4]",,0
141946-input,a laptop,a laptop with black screen,"[3, 4, 5]",,1
141946-output1,chair,red chair,[1],,0
141946-output2,a desktop ,a black desktop,[2],,0
408425-input,lime green curtains,white curtains,,,1
408425-output1,bed,bean bag,,,0
408425-output2,table,wooden table,[1],,0
352290-input,horse,horse wearing a hat,"[2, 3, 4]",,1
352290-output1,sky,bird flying in the sky,"[1, 2, 3, 4]",,0
385037-input,a man and a woman,a woman,,,1
385037-output1,a woman,an obese woman,[2],,0
385037-output2,a woman,a woman and a helmet,"[3, 4, 5]",,0
578213-input.png,candels in a candel holder,banana shaped candel in a candel holder,"[1, 2, 3]",,1
127515-input,a baseball player,a baseball player is chatching a ball,"[4, 5, 6, 7]",,1
308332-input,ocean painting,mermaid in the ocean painting,"[1, 2, 3]",,1
308332-output1,mermaid,mermaid reading a book,"[2, 3, 4]",,0
308332-output2,bedsheet,bedsheet with a lobster,"[2, 3, 4]",,0
284725-input,a car and a bus,a bus,,,1
284725-output1,a bus,a cat on top of a bus,"[1, 2, 3, 4, 5]",,0
560472-input,sausages in a pan,patties in a pan,[1],,1
560472-output1,bread in a pan,pancakes in a pan,[1],,0
560472-output2,a bottle,a wine bottle,[2],,0
441483-input,a toilet,a toilet with a lid,"[3, 4, 5]",,1
116518-input,teddy bear,black teddy bear,[1],,1
116518-output1,a dog and and a teddy bear,a dog licking a teddy bear,[3],,0
116518-output2,a dog,a dargonfly and a dog,"[1, 2, 3, 4]",,0
103966-input,a tennis racket,a shovel,[2],,1
103966-output1,bench, wooden pew,"[1, 2]",,0
103966-output2,floor ,a bucket of dirt,"[1, 2, 3, 4]",,0
258155-input,blanket,long blanket,[1],,1
495146-input,sky,helicopter,[1],,1
70491-input,remote,VR headset,"[1, 2]",,1
70491-output1,wall,movie poster on a wall,"[1, 2, 3, 4]",,0
70491-output2,a table,a credit card on a table,"[1, 2, 3, 4, 5]",,0
296012-input,car,red sports car,"[1, 2]",,1
221187-input,a banana,a microphone,[2],,1
160864-input,baseball bats,swords,[1],,1
160864-output1,the catcher,the catcher laughing,[3],,0
160864-output2,catcher,clown,[1],,0
51746-input,white couch,brown couch,[1],,1
51746-output1,screen,blank screen,[1],,0
51746-output2,the couch,the puppy near the couch,"[1, 2, 3]",,0
171328-input,brick wall,tower,[1],,1
171328-output1,oranges,berries,[1],,0
171328-output2,leaves,yellow leaves,[1],,0
398772-input,a chair,a wheel chair,[2],,1
398772-output1,bed,hospital bed,[1],,0
118246-input,peanuts,shelled peanuts,[1],,1
114697-input,baseball players,baseball players and the coach,"[3, 4, 5]",,1
3259-input,phone,table lamp,"[2, 3]",,1
3259-output1,a laptop,a laptop with a red webpage,"[3, 4, 5, 6]",,0
3259-output2,laptop,white laptop,[1],,0
519688-input,woman,woman with scar on her face,"[2, 3, 4, 5, 6]",,1
554145-input,brushes,an orange sticky note to some brushes,"[1, 2, 3, 4, 5, 6]",,1
296724-input,a bed,grandma on a bed,"[1, 2, 3]",,1
417043-input,the bench,a clown on the bench,"[1, 2, 3]",,1
5253-input,"\""STOP\"" sign","\""GO\"" sign",,,1
335874-input,polar bear,zebra-striped polar bear,[1],,1
335874-output1,polar bear,polar bear and a pizza,"[3, 4, 5]",,0
335874-output2,bear,bear with a top hat,"[2, 3, 4, 5]",,0
169365-input,cat,meowing cat,[1],,1
440336-input,man,man firing a fireball,"[2, 3, 4]",,1
440336-output1,man,man and a bird,"[2, 3, 4]",,0
330790-input,elephant,elephant with a red bow,"[2, 3, 4, 5]",,1
237587-input,fire hydrant,bald eagle on fire hydrant,"[1, 2, 3]",,1
25485-input,dove,owl,[1],,1
25485-output1,floor ,kitten on the floor,"[1, 2, 3]",,0
495312-input,man holding a dog,man holding a laptop,[4],,1
495312-output1,man,man wearing glasses,"[2, 3]",,0
331816-input,a field,a field with trees,"[3, 4]",,1
115037-input,scissors,plastic scissors,[1],,1
376843-input,man,man wearing brown pants,"[2, 3, 4]",,1
54464-input,laptops,a hear pillow next to a laptop,,,1
54464-output1,a hear pillow next to a laptop,a heart pillow,,,0
54464-output2,a bed with items on it,a bed with only heart pillows,"[4, 5, 6]",,0
151050-input,stop sign,no entry sign,"[1, 2]",,1
151050-output1,sign,craved pumpkin next to the sign,"[1, 2, 3, 4, 5]",,0
151050-output2,an emptry street,a woman jogging,"[1, 2, 3]",,0
222015-input,a clock,an eye,"[1, 2]",,1
491098-input,the table,a wine bottle on the table,"[1, 2, 3, 4]",,1
491098-output1,the wall,drawing of a girl on the wall,"[1, 2, 3, 4, 5]",,0
461252-input,cereal bowl,blow of broccoli and bell peppers,"[2, 3, 4, 5, 6]",,1
461252-output1,sandwish,bun,[1],,0
461252-output2,plate,transparent glass plate,"[1, 2]",,0
294330-input,books,leather bound books,"[1, 2]",,1
294330-output1,computer screen,computer displaying codes,"[2, 3]",,0
294330-output2,office with chairs,office,,,0
65307-input,a woman,a woman wears a hat,"[3, 4, 5]",,1
373776-input,teardrop-shaped cutouts,star-shaped cutputs,[1],,1
163866-input,woman,dog on the left side of woman,"[1, 2, 3, 4, 5, 6]",,1
393403-input,bus,train,[1],,1
459898-input,zebra,wolf,[1],,1
459898-output1,zebra,a bird of a zebra,"[1, 2, 3, 4]",,0
161062-input,an airplane on a runway,an empty runway,"[2, 3]",,1
246924-input,hand,hairless hand,[1],,1
246924-output1,green peppers on chopping board,chopping board,,,0
482545-input,a cat,an iguana,"[1, 2]",,1
32818-input,a beach,person flying kite at a beach,"[1, 2, 3, 4]",,1
32818-output1,bench,wooden bench,[1],,0
32818-output2,a beach,ducks and a bag of popcorn on a beach,"[1, 2, 3, 4, 5, 6, 7]",,0
534041-input,the boy,the boy with sunglasses,"[3, 4]",,1
536595-input,white and blue hydrant,red hydrant,,,1
536595-output1,crowd,mascot and a crowd,"[1, 2, 3]",,0
536595-output2,a hydrant,a roadblock near a hydrant,"[1, 2, 3]",,0
279939-input,toilet,closed-lid toilet,[1],,1
358653-input,refrigerator,refrigerator with a drawing,"[2, 3, 4]",,1
358653-output1,the freezer,a cat on the freezer,"[1, 2, 3]",,0
348966-input,the drinks,the blue drinks,[2],,1
338924-input,basil plant,geranium plant,[1],,1
338924-output1,vegetable pizza,meat pizza,[1],,0
338924-output2,wooden tray,round white plate,"[1, 2]",,0
286724-input,the woods,the woods with no trees,"[3, 4, 5]",,1
88759-input,kitchen,kitchen with oven,"[2, 3]",,1
88759-output1,kitchen,kitchen with watermelon,"[2, 3]",,0
360510-input,car,truck,[1],,1
360510-output1,the building,sun shine on the building,"[1, 2, 3]",,0
360510-output2,truck,fishing poles on truck,"[1, 2, 3]",,0
208469-input,square pizza,round pizza,[1],,1
208469-output1,the pizza,a glass close to the pizza,"[1, 2, 3, 4]",,0
8238-input,man,man wearing a red tie,"[2, 3, 4, 5]",,1
543833-input,glass vase,blue vase,[1],,1
543833-output1,a pot next to a vase,a blue pot next to a vase,[2],,0
543833-output2,a pot,a candel near a pot,"[1, 2, 3]",,0
262710-input,cap,cowboy hat,"[1, 2]",,1
104081-input,cows in the forest,a tractor and cows in the forest,"[1, 2, 3]",,1
104081-output1,forest,log cabin in the forest,"[1, 2, 3, 4]",,0
156195-input,trees,trees with red leaves,"[2, 3, 4]",,1
156195-output1,the sheep,model posing next to the sheep,"[1, 2, 3, 4]",,0
161128-input,no cursing sign,parking sign,[1],,1
161128-output1,the sky,lightning bolt in the sky,"[1, 2, 3]",,0
161128-output2,cars on street,a cop car on street,"[1, 2, 3]",,0
376839-input,people,people and a dog,"[2, 3, 4]",,1
376839-output1,a woman,a woman wearing a cowboy hot,"[3, 4, 5, 6]",,0
475425-input,a food plate,an empty plate,"[1, 2]",,1
475425-output1,milk grass,soda can,"[1, 2]",,0
446522-input,dog in a room,dog in a dining room,[4],,1
446522-output1,a dog,a dog and a cat,"[3, 4, 5]",,0
446522-output2,a chair,a floor lamp next to a chair,"[1, 2, 3, 4, 5]",,0
32777-input,man with the backpack,man with the backpack wears a hat,"[5, 6, 7]",,1
383220-input,snowman,squirrel,[1],,1
383220-output1,sky,night sky and moon,"[1, 3, 4]",,0
385190-input,painting,painting of flowers,"[2, 3]",,1
319522-input,horses,white horses,[1],,1
67616-input,the front cat,lamborghini car,[1],,1
71409-input,a car,a new car,[2],,1
71409-output1,a side walk,a fire hydrant on the side walk,"[1, 2, 3, 4]",,0
125109-input,wooden floor,red-tiled floor,[1],,1
125109-output1,flowers,blue flowers,[1],,0
125109-output2,the stove,big chimney over the stove,"[1, 2, 3]",,0
248403-input,woman,woman with open mouth,"[2, 3, 4]",,1
248403-output1,woman,blindfolded woman,[1],,0
318657-input,the sky,a spaceship in the sky,"[1, 2, 3]",,1
89648-input,people on the phones and laptop,people on the phones,,,1
323789-input,man,laughing man,[1],,1
323789-output1,the wall,world map on the wall,"[1, 2, 3]",,0
323789-output2,man,man with curly blonde hair,"[2, 3, 4, 5]",,0
278555-input,man,man wearing backpack,"[2, 3]",,1
528266-input,man,man covers his mouth with his hand,"[2, 3, 4, 5, 6, 7]",,1
528266-output1,pizza box,open pizza box,[1],,0
528266-output2,man,man has crew cut hair,"[2, 3, 4, 5]",,0
376990-input,hotdog,sandwich,[1],,1
376990-output1,beanie,helmet,[1],,0
60892-input,bed,dog on a bed,"[1, 2, 3]",,1
60892-output1,phone on nightstand,nightstand,"[1, 2]",,0
532482-input,red fire hydrant,green fire hydrant,[1],,1
532482-output1,a fire hydrant,a fire hydrant and a dog,"[4, 5, 6]",,0
532482-output2,a bus,a fire truck,"[2, 3]",,0
494413-input,the hot dog,a fork sticking out of the hot dog,"[1, 2, 3, 4, 5]",,1
75216-input,cow,mooing cow,[1],,1
75216-output1,cows,cows and a duck,"[2, 3, 4]",,0
75216-output2,cows,cows and a hut,"[2, 3, 4]",,0
328802-input,zebra,zebra drinks from a bucket,"[2, 3, 4, 5]",,1
328802-output1,the tree,the tree has dense green leaves,"[3, 4, 5, 6]",,0
328802-output2,zebra,thin and lanky zebra,"[1, 2, 3]",,0
324104-input,field,field and river,"[2, 3]",,1
324104-output1,field,field and moutains,"[2, 3]",,0
324104-output2,field,a horse in the field,"[1, 2, 3, 4]",,0
137100-input,food plate with fork,food plate,"[3, 4]",,1
137100-output1,"food plate, glass, and bottle",food plate,,,0
137100-output2,pizza,sandwich,[1],,0
229419-input,cows,cows and a tractor,,,1
229419-output1,cows,horses,,,0
229419-output2,field,cornfield,,,0
188148-input,man,man with glasses,,,1
402802-input,girl,crying girl,,,1
402802-output1,vase contains a flower,vase contains a tulip,,,0
402802-output2,a girl,a man sit next to a girl,,,0
396260-input,backpack,trash can,,,1
396260-output1,suitcase,soda cans in the suitcase,,,0
396260-output2,floor ,tile floor,,,0
197658-input,a baseball player,a ball coming towards the player,,,1
102174-input,cockatiel,cockatiel with open mouth,,,1
102174-output1,computer screen,computer screen showing a video webpage,,,0
102174-output2,computer,black computer,,,0
550000-input,boys,a girl,,,1
483357-input,the sink,a vase of flowers on the sink,,,1
326408-input,the sandwiches,a rat near the sandwiches,,,1
257558-input,the stuffed bear,a grizzly bear near the stuffed bear,,,1
257558-output1,the xmas tree,a big star on the xmas tree,,,0
257558-output2,the bears,gift boxes near the bears,,,0
377056-input,a room,a flamingo in a room,,,1
45071-input,cat,shocked cat,,,1
45071-output1,a bag,cat food next to a bag,,,0
45071-output2,ball,white ball,,,0
106172-input,computer and speakers,speakers,,,1
106172-output1,man,man wearing sunglasses,,,0
106172-output2,man,man with party hat,,,0
517548-input,toilet,toilet with open lid,,,1
517548-output1,cabinet,mirror,,,0
517548-output2,sink,white sink,,,0
297154-input,blue and yellow plane,red and white plane,,,1
297154-output1,sky,bird flying in the sky,,,0
297154-output2,a photo of a plane with text,a photo of a plane,,,0
134689-input,a giraff,a giraff and a zebra,,,1
232025-input,the pitcher,the pitcher is jumping,,,1
232025-output1,the pitcher,a motorcycle behind the pitcher,,,0
232025-output2,a baseball field,a base ball field and a car,,,0
276552-input,a man,a man looking at the camera,,,1
528488-input,a frisbee,a bone,,,1
528488-output1,dog,dog waring boots,,,0
401433-input,an elephant,a leopard,,,1
401433-output1,woman,crying woman,,,0
401433-output2,man wearing cap,man wearing cowbot hat,,,0
246184-input,surf boards,an old man looks at surf boards,,,1
246184-output1,surfboards,an earthworm on the surfboard,,,0
246184-output2,a surfboard,a surfboard with a face painted on it,,,0
55241-input,a cow,a cow wearing a hat,,,1
170908-input,a room,a room with low ceiling,,,1
170908-output1,a room with a window,a room,,,0
276703-input,car,"car with text \""CAR\""",,,1
276703-output1,the car,a bunch of flowers by the car,,,0
227117-input,the counter,a bottle of wine on the counter,,,1
67373-input,city view,sea view,,,1
67373-output1,a cup of coffee,a bottle of wine,,,0
223154-input.png,traffic light with green light on,traffic light,,,1
223154-output1,a road,a deer in the road,,,0
253538-input,a frisbee,a volley ball,,,1
253538-output1,a house,a mosque,,,0
253538-output2,players,platers and a mascot,,,0
53423-input,the ocean,a boat in the ocean,,,1
53423-output1,the beach,a turtle on the beach,,,0
532501-input,a sink,a man in front of a sinl,,,1
532501-output1,mirror,clown face in the mirror,,,0
151761-input,baby elephant,baby elephant holding up its trunk,,,1
43917-input,food plate,beef on the plate,,,1
43917-output1,food plate,food plate with french fries,,,0
207932-input,a train,a horse and a train,,,1
360535-input,flowers,television,,,1
360535-output1,wall,a clock on the wall,,,0
360535-output2,ceiling,a ceiling fan,,,0
429227-input,a zebra,a tiger,,,1
429227-output1,a zebra,a bird on the back of the zebra,,,0
429227-output2,grass,a bed of flowers,,,0
174896-input,laptop,microwave,,,1
174896-output1,salad,tomato soup,,,0
174896-output2,a table,an orchid on a table,,,0
473420-input,traffic light,traffic light shows green,,,1
389986-input,the racket,a woman holding the racket,,,1
389986-output1,the racket,the racket with striped strings,,,0
389986-output2,the racket,a dog sit under the racket and look up at the camera,,,0
292991-input,the wall,a drawing on the wall,,,1
318189-input,American flag,Canadian flag,,,1
318189-output1,surfboard,person,,,0
318189-output2,car,sports car,,,0
273808-input,things on the floor,floor,,,1
221213-input,the train,a railroad crossing by the train,,,1
221213-output1,the train,a mountrain behind the train,,,0
312334-input,the palm trees,the palm trees on fire,,,1
313880-input,table with pizza,table with pizza and a menu,,,1
232489-input,plate,ceramic plate,,,1
232489-output1,pizza,sandwich,,,0
555495-input,the field,some flowers in the field,,,1
478407-input,man,man biting the pizza,,,1
478407-output1,man,man with ginger curly hair,,,0
478407-output2,man,man wears sunglasses,,,0
553735-input,a bus,a truck,,,1
419312-input,plate of food,cereal bowl,,,1
419312-output1,the drink,cereal box,,,0
27616-input,a bag,a brown leather luggage,,,1
459058-input,license plate,license plate with graffiti on it,,,1
459058-output1,backlight,red backlight,,,0
459058-output2,the scooter,a woman sit on the scooter,,,0
376891-input,sign,neon sign,,,1
376891-output1,doughnuts,person look towards the doughnuts,,,0
376891-output2,store,store with a lot of people,,,0
476119-input,man,man wearing a paper bag,,,1
476119-output1,a car ,a range rover,,,0
476119-output2,a man ,a cafe behind a man,,,0
542147-input,cows in a field,a field,,,1
542147-output1,the sky,a UFO in the sky,,,0
542147-output2,a field,a lighthouse by a field,,,0
274629-input,stop sign,parking sign,,,1
274629-output1,Time megazine,Vogue megazine,,,0
274629-output2,the street,a tank on the street,,,0
534555-input,27,15,,,1
534555-output1,helmet,red helmet,,,0
534555-output2,the batter,the batter wearing pants with stripes,,,0
350054-input,cat,raccoon,,,1
350054-output1,tv,TV with the sports on,,,0
350054-output2,carpet,wooden floor,,,0
131015-input,clothes,meat,,,1
131015-output1,clothes,tie,,,0
120874-input,dog,howling dog,,,1
120874-output1,window,dog peering through the window,,,0
120874-output2,trees,lighthouse,,,0
353221-input,middle image,apples,,,1
208963-input,umbrella,blue umbrella,,,1
340971-input,television,gaming pc,,,1
196876-input,beans,milk,,,1
196876-output1,food ,fruits,,,0
282238-input,trees,one large tree,,,1
282238-output1,traffic light,a bird on the traffic light,,,0
282238-output2,crossroad,train coming to a crossroad,,,0
300994-input,4,5,,,1
300994-output1,candles,litted candles,,,0
300994-output2,the cake,a cat eating the cake,,,0
294353-input,the fork,a piece of meat on the fork,,,1
294353-output1,vase,small vase with a rose,,,0
376269-input,giraffe,giraffe with big ears,,,1
376269-output1,giraffe,giraffe big googly eyes,,,0
242543-input,the refrigerator,closed refrigerator,,,1
78468-input,truck,tractor,,,1
78468-output1,tractor,a bear cub near tractor,,,0
78468-output2,trailer with bag,trailer,,,0
457986-input,the table,a potted plant on the table,,,1
457986-output1,sofa,a cat on the sofa,,,0
315702-input,the counter,folded towels under the counter,,,1
315702-output1,the sink,the sink be rectangle in shape,,,0
315702-output2,the sink,a rubber ducky by the sink,,,0
159791-input,refrigerator with magnets and stickers,refrigerator,,,1
309753-input,the bananas,unripe bananas,,,1
354306-input,the shelf,a bottle of poison on the shelf,,,1
330084-input,bear,bear stick out its tongue,,,1
330084-output1,a bear,a bear and a cat,,,0
47916-input,a dog,a forest next to a dog,,,1
47916-output1,a dog,a dog with a bone,,,0
47916-output2,forest,a pond next to the forest,,,0
286753-input,the baseball player,the baseball player be wearing a skirt,,,1
229139-input,cat in a luggage,luggage,,,1
229139-output1,suitcase,a cat next to the suitcase,,,0
99645-input.png,sony,TV,,,1
99645-output1,birds,a helicopter,,,0
99645-output2,the helicopter,a person falling out of the helicopter,,,0
502808-input,bathtub and a shower curtain,a shower curtain,,,1
63866-input,the table,cake on the table,,,1
63866-output1,people,dogs,,,0
104669-input,a plate of food,a plate of food and a glass of juice,,,1
581632-input,a bar,a laboratory,,,1
581632-output1,the clock,a chalkboard by the clock,,,0
163431-input,shoes,stilettos,,,1
163431-output2,the bag,a loaf of bread in the bag,,,0
343849-input,laptop,laptop showing a green web page,,,1
343849-output1,notebook,binder,,,0
343849-output2,table,a wine bottle on a table,,,0
24207-input,a sheep,a black sheep,,,1
139-input,window,window with shades closed,,,1
139-output1,woman,woman sit in a chair,,,0
139-output2,the table,a cat sleep on the floor by the table,,,0
113857-input,women shaking hands,women holding a trophy,,,1
113857-output1,women,women with red and blonde hair,,,0
113857-output2,tennis players,tennis players and a coach,,,0
122913-input,a suitcase,a racoon inside a suitcase,,,1
272953-input,a brown goat,a brown goat and a white goat,,,1
377368-input,4th,30th,,,1
377368-output1,cake with candles,cake ,,,0
377368-output2,bear with blue nose,bear with red nose,,,0
163897-input,car with broken fender,car,,,1
163897-output1,car,car with smashed headlights,,,0
163897-output2,car in a field,car on dirt,,,0
465335-input,ball,tennis ball,,,1
357941-input,cat on a TV,cat hanging on a TV,,,1
357941-output1,cat on a TV,a mouse sit on the tv set by the cat,,,0
357941-output2,cat on a TV,a bird fly by the window in front of the cat,,,0
384346-input,man wearing hat,man wearing blue hat,,,1
456610-input,salad,hotdog,,,1
335913-input,a framed picture,a framed picture of a girl,,,1
25551-input,ambulance,food truck,,,1
25551-output1,man,man in police uniform,,,0
25551-output2,trees,building,,,0
262686-input,men,man point to another man,,,1
262686-output1,man,the man look at the camera,,,0
262686-output2,sitting man,the sitting man is smiling,,,0
221190-input,sign,yellow sign,,,1
200003-input,man,man carrying surfboard,,,1
360805-input,the cat,the cat looks at the camera,,,1
360805-output1,laptop,laptop with blue screen,,,0
360805-output2,cat,cat and cat food,,,0
478184-input,giraffe,sitting giraffe,,,1
418726-input,floor,wooden floor,,,1
62740-input,car,blue car,,,1
298318-input,rubber boat,galley,,,1
298318-output1,the galley,a dolphin jump into the galley,,,0
298318-output2,the building at the back,skyscrapers at the back,,,0
1401-input,lemon,orange,,,1
74583-input,cat,parrot,,,1
74583-output1,room with bicycle,room,,,0
74583-output2,room,room with one floating ballon,,,0
294974-input,plane,plane with a pig logo,,,1
291004-input,remote control and iphone,remote control,,,1
291004-output1,blue cloth,geometric-patterned cloth,,,0
291004-output2,the remote control,the remote control with an LCD display,,,0
403028-input,the counter,a pizza on the counter,,,1
403028-output1,the counter,a bottle of soda on the counter,,,0
407083-input,dog,the dog with a tennis ball on his mouth,,,1
407083-output1,man,man with shades,,,0
322829-input,the bench,a dog under the bench,,,1
322829-output1,the bench,a flower vase on the bench,,,0
393286-input,a partially peeled banana,a apple and a partially peeled banana,,,1
262283-input,flowers,red roses,,,1
490443-input,rocks,ocean,,,1
490443-output1,beach umbrella and chair,car,,,0
513712-input,food,food on a plate,,,1
513712-output1,tomatoes,oranges,,,0
498463-input,refrigerator,white refrigerator,,,1
498463-output1,refrigerator,refrigerator with stickers,,,0
498463-output2,refrigerator,a dispenser behind the refrigerator,,,0
488132-input,sheep,tiger looking at sheep,,,1
401822-input,wooden floor,tile floor,,,1
401822-output1,the stove,bowl on the stove,,,0
557067-input,bed,fruit on the bed,,,1
445397-input,the lady,the gasping lady,,,1
445397-output1,the lady,the lady wearing vintage clothes,,,0
445397-output2,wall,tv on the wall,,,0
448177-input,water tank,water tank have a lid,,,1
212834-input,the umbrella,a chair under the umbrella,,,1
45596-input,plant life along the building,building,,,1
182673-input,gray chairs,upright piano,,,1
182673-output1,the piano,person playing the piano,,,0
182673-output2,person,person with a red shirt,,,0
367107-input,stop sign,painting,,,1
501864-input,men on horses,horses,,,1
501864-output1,a photo with text,a photo,,,0
501864-output2,the sky,a zeppelin float in the sky,,,0
492489-input,baseball bat,baseball bat made of wood,,,1
110327-input,food in styrofoam tray,carrots in styrofoam tray,,,1
110327-output1,food in styrofoam tray,money in styrofoam tray,,,0
110327-output2,hotdog and carrot in styrofoam tray,carrot in styrofoam tray,,,0
531277-input,plate of food,plate of cake,,,1
531277-output1,plate,blue plate,,,0
531277-output2,plate,a glass of soda next to the plate,,,0
126182-input,refrigerator,blue refrigerator,,,1
126182-output1,the freezer,a microwave next to the freezer,,,0
126182-output2,kitchen,kitchen with an oven,,,0
195715-input,glove,a tennis ball in the glove,,,1
196878-input,flower,a glass of wine,,,1
196878-output1,dinning table with a candle stick,dining table,,,0
303257-input,elephant,elephant curling its trunk,,,1
303257-output1,elephant,elephant with smiley face,,,0
303257-output2,elephant and rock,elephant,,,0
516000-input,noodels,rice,,,1
516000-output1,food plate,food plate with sauce,,,0
516000-output2,veggies,chicken,,,0
536798-input,the boy,the boy is crying,,,1
377212-input,dog,dog wearing a backwards baseball cap,,,1
377212-output1,baseball cap,"baseball cap has the letter \""A\"" on it",,,0
377212-output2,dog,dog smoking a pipe,,,0
87017-input,woman and horse,horse,,,1
87017-output1,horse,horse with a horn,,,0
87135-input,road signs,stop sign,,,1
87135-output1,road signs,sheep walk near the road signs,,,0
458763-input,wall,a painting of Santa Claus,,,1
538116-input,water,soda can,,,1
286656-input,bottle,syringe,,,1
286656-output1,bucket,blue bucket,,,0
355677-input,the beach,sandcastle on the beach,,,1
342387-input,hats,chef hats,,,1
554364-input,kitchen,ninja in a kitchen,,,1
188439-input,truck driving on a road,truck driving on a dirt road,,,1
407574-input,the bananas,a person to the left of the bananas,,,1
407574-output1,the unripe bananas on the top,the ripe bananas on the top,,,0
407574-output2,wooden pole,mental pole,,,0
97579-input,man,man looking at the camera,,,1
97579-output1,woman,woman holds a banana,,,0
97579-output2,woman,woman looking at the camera,,,0
556775-input,laptop on the table,the table,,,1
556775-output1,the couch,the dog on the couch,,,0
229171-input,a laptop,a laptop showing a picture of an elephant,,,1
229171-output1,a laptop,a laptop showing a picture of an elephant,,,0
191193-input,dog,brown dog,,,1
442414-input,horse,lion,,,1
442414-output1,woman,little boy,,,0
442414-output2,people,people and a train,,,0
513484-input,bear,bear wears a shirt,,,1
513484-output1,bear,bear with a hat,,,0
507918-input,goats,person taking pictures of the goats,,,1
62398-input,a cat,a cat standing,,,1
62398-output1,cats,one white cat,,,0
540100-input,"chicken, broccoli and cheese",rice,,,1
540100-output1,bowl,yellow bowl,,,0
540100-output2,bowl,salt next to the bowl,,,0
108649-input,a cap and sunglasses,a cap,,,1
108649-output1,cap on glove,cap on wooden block,,,0
108649-output2,block,a small action figure next to the block,,,0
377772-input,bunk bed,single bed,,,1
377772-output1,vase,vase with red flowers,,,0
482775-input,a plate,a cake on the plate,,,1
482775-output1,a plate,a glass of juice next to the plate,,,0
482775-output2,a plate,a jar of juice next to the plate,,,0
499730-input,stop sign,go sign,,,1
499730-output1,the bottom sign,a clock,,,0
499730-output2,the go sign,a parrot on top of the go sign,,,0
509028-input,people,people faceing the building,,,1
509028-output1,the building,the building with a balcony,,,0
433605-input,bananas,dark bananas,,,1
433605-output1,laptop,laptop is showing some fruits,,,0
433605-output2,a laptop and a mouse,a mouse,,,0
558538-input,stop sign,exit sign,,,1
558538-output1,the garage,a car driving out of the garage,,,0
558538-output2,the two houses,kids playing in front of the two houses,,,0
204804-input,the chair,a king sitting on the chair,,,1
449125-input,frisbee,beach ball,,,1
139306-input,a knife,a dull knife,,,1
139306-output1,sandwich,hotdog,,,0
507958-input,cabinets,painted cabinets,,,1
507958-output1,kitchen,kitchen with butterflies,,,0
507958-output2,wall,flower wallpaper,,,0
78689-input,dog,panting dog,,,1
78689-output1,a laptop,a laptop showing an error message,,,0
78689-output2,two laptops on a bed,a laptop on a bed,,,0
115146-input,wall,a drawing of a girl on the wall,,,1
359687-input,a boat,a man sitting in a boat,,,1
359687-output1,the wooden dock,a dog on the wooden dock,,,0
359687-output2,sky,fireworks in the sky,,,0
436284-input,wood,a volcano,,,1
436284-output1,a volcano,a volcano with laba flowing,,,0
436284-output2,a volcano,a volcano and smoke,,,0
455879-input,military hats,sombrero hats,,,1
455879-output1,blood on white block,white block,,,0
448409-input,chair,chair  made by black leather,,,1
204777-input,man,man putting a sandwich in his mouth,,,1
204777-output1,the old man,the old man be dressed in a military uniform,,,0
204777-output2,the man,the man has a curly afro,,,0
528875-input,lunch box,lunch box and a tennis ball,,,1
